Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - BGZ.txt

Data for: 2017-01-17 13:40:00 UTC - 2017-11-29 16:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
BGZ	2017-01-17 13:40:00	-0.025	-0.001	0.006	-4.249	-0.025	-0.001	0.006	-4.249	1	0.05	0.224	4.249	1.0	2.059	0.0	2017-01-17	08:40:00	US/Eastern
BGZ	2017-01-17 13:55:00	-0.025	-0.001	0.006	-4.249	-0.025	-0.001	0.006	-4.249	1	0.05	0.224	4.249	1.0	2.059	0.0	2017-01-17	08:55:00	US/Eastern
BGZ	2017-01-17 14:10:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	1	0.05	0.224	4.249	1.0	3.175	0.0	2017-01-17	09:10:00	US/Eastern
BGZ	2017-01-17 14:25:00	-0.025	-0.001	0.006	-4.225	-0.024	-0.001	0.005	-4.225	1	0.051	0.225	4.225	1.0	3.175	0.024	2017-01-17	09:25:00	US/Eastern
BGZ	2017-01-17 14:40:00	-0.025	-0.001	0.006	-4.203	-0.024	-0.001	0.005	-4.201	1	0.051	0.226	4.203	1.0	3.175	0.024	2017-01-17	09:40:00	US/Eastern
BGZ	2017-01-17 14:55:00	-0.025	-0.001	0.006	-4.18	-0.024	-0.001	0.005	-4.176	1	0.052	0.227	4.18	1.0	3.175	0.049	2017-01-17	09:55:00	US/Eastern
BGZ	2017-01-17 15:10:00	-0.025	-0.001	0.006	-4.158	-0.023	-0.001	0.005	-4.151	1	0.052	0.228	4.158	1.0	3.175	0.074	2017-01-17	10:10:00	US/Eastern
BGZ	2017-01-17 15:25:00	-0.025	-0.001	0.006	-4.136	-0.023	-0.001	0.005	-4.125	1	0.053	0.229	4.136	1.0	3.175	0.1	2017-01-17	10:25:00	US/Eastern
BGZ	2017-01-17 15:40:00	-0.025	-0.001	0.006	-4.115	-0.023	-0.001	0.005	-4.098	1	0.053	0.23	4.115	1.0	3.175	0.127	2017-01-17	10:40:00	US/Eastern
BGZ	2017-01-17 15:55:00	-0.025	-0.001	0.006	-4.094	-0.023	-0.001	0.005	-4.071	1	0.054	0.231	4.094	1.0	3.175	0.027	2017-01-17	10:55:00	US/Eastern
BGZ	2017-01-17 16:10:00	-0.025	-0.001	0.006	-4.073	-0.023	-0.001	0.005	-4.043	1	0.054	0.232	4.073	1.0	3.175	0.055	2017-01-17	11:10:00	US/Eastern
BGZ	2017-01-17 16:25:00	-0.025	-0.001	0.006	-4.052	-0.022	-0.001	0.005	-4.015	1	0.055	0.233	4.052	1.0	3.175	0.083	2017-01-17	11:25:00	US/Eastern
