Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - KOL.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-28 16:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
KOL	2017-01-01 00:10:00	-0.2	0.012	0.168	-1.261	-0.106	0.008	0.111	-1.031	1	2.713	2.053	-0.834	1.0	0.46	0.02	2016-12-31	19:10:00	US/Eastern
KOL	2017-01-01 00:25:00	-0.2	0.012	0.168	-1.261	-0.105	0.008	0.111	-1.022	1	2.714	2.053	-0.835	1.0	0.46	0.029	2016-12-31	19:25:00	US/Eastern
KOL	2017-01-01 00:40:00	-0.2	0.012	0.168	-1.26	-0.104	0.008	0.111	-1.012	1	2.716	2.053	-0.836	1.0	0.46	0.039	2016-12-31	19:40:00	US/Eastern
KOL	2017-01-01 00:55:00	-0.2	0.011	0.168	-1.26	-0.103	0.008	0.111	-1.002	1	2.717	2.053	-0.837	1.0	0.46	0.048	2016-12-31	19:55:00	US/Eastern
KOL	2017-01-01 01:10:00	-0.2	0.011	0.168	-1.259	-0.102	0.008	0.111	-0.993	1	2.719	2.053	-0.837	1.0	0.46	0.009	2016-12-31	20:10:00	US/Eastern
KOL	2017-01-01 01:25:00	-0.2	0.011	0.168	-1.259	-0.101	0.008	0.111	-0.984	1	2.72	2.052	-0.838	1.0	0.46	0.019	2016-12-31	20:25:00	US/Eastern
KOL	2017-01-01 01:40:00	-0.2	0.011	0.168	-1.258	-0.1	0.008	0.111	-0.974	1	2.722	2.052	-0.839	1.0	0.46	0.028	2016-12-31	20:40:00	US/Eastern
KOL	2017-01-01 01:55:00	-0.2	0.011	0.168	-1.258	-0.099	0.008	0.111	-0.965	1	2.723	2.052	-0.84	1.0	0.46	0.037	2016-12-31	20:55:00	US/Eastern
KOL	2017-01-01 02:10:00	-0.2	0.011	0.168	-1.257	-0.098	0.008	0.111	-0.956	1	2.725	2.052	-0.841	1.0	0.46	0.046	2016-12-31	21:10:00	US/Eastern
KOL	2017-01-01 02:25:00	-0.2	0.011	0.168	-1.257	-0.097	0.008	0.111	-0.947	1	2.727	2.052	-0.842	1.0	0.46	0.009	2016-12-31	21:25:00	US/Eastern
KOL	2017-01-01 02:40:00	-0.2	0.011	0.168	-1.257	-0.096	0.008	0.111	-0.938	1	2.728	2.051	-0.842	1.0	0.46	0.018	2016-12-31	21:40:00	US/Eastern
KOL	2017-01-01 02:55:00	-0.2	0.011	0.168	-1.256	-0.095	0.008	0.111	-0.929	1	2.73	2.051	-0.843	1.0	0.46	0.027	2016-12-31	21:55:00	US/Eastern
KOL	2017-01-01 03:10:00	-0.2	0.011	0.168	-1.256	-0.094	0.008	0.111	-0.92	1	2.731	2.051	-0.844	1.0	0.46	0.036	2016-12-31	22:10:00	US/Eastern
KOL	2017-01-01 03:25:00	-0.2	0.011	0.168	-1.255	-0.093	0.008	0.111	-0.912	1	2.733	2.051	-0.845	1.0	0.46	0.044	2016-12-31	22:25:00	US/Eastern
KOL	2017-01-01 03:40:00	-0.2	0.011	0.168	-1.255	-0.092	0.008	0.111	-0.903	1	2.734	2.051	-0.846	1.0	0.46	0.009	2016-12-31	22:40:00	US/Eastern
KOL	2017-01-01 03:55:00	-0.2	0.011	0.168	-1.254	-0.091	0.008	0.111	-0.894	1	2.736	2.051	-0.847	1.0	0.46	0.017	2016-12-31	22:55:00	US/Eastern
KOL	2017-01-01 04:10:00	-0.2	0.011	0.168	-1.254	-0.09	0.008	0.111	-0.886	1	2.738	2.05	-0.847	1.0	0.46	0.026	2016-12-31	23:10:00	US/Eastern
KOL	2017-01-01 04:25:00	-0.2	0.011	0.168	-1.253	-0.089	0.008	0.111	-0.878	1	2.739	2.05	-0.848	1.0	0.46	0.034	2016-12-31	23:25:00	US/Eastern
KOL	2017-01-01 04:40:00	-0.2	0.011	0.168	-1.253	-0.088	0.008	0.111	-0.869	1	2.741	2.05	-0.849	1.0	0.46	0.042	2016-12-31	23:40:00	US/Eastern
KOL	2017-01-01 04:55:00	-0.2	0.011	0.168	-1.252	-0.087	0.008	0.111	-0.861	1	2.742	2.05	-0.85	1.0	0.46	0.008	2016-12-31	23:55:00	US/Eastern
KOL	2017-01-01 05:10:00	-0.2	0.011	0.168	-1.252	-0.086	0.008	0.111	-0.853	1	2.744	2.05	-0.851	1.0	0.46	0.016	2017-01-01	00:10:00	US/Eastern
KOL	2017-01-01 05:25:00	-0.2	0.011	0.168	-1.251	-0.086	0.008	0.111	-0.845	1	2.745	2.049	-0.852	1.0	0.46	0.025	2017-01-01	00:25:00	US/Eastern
KOL	2017-01-01 05:40:00	-0.2	0.01	0.168	-1.251	-0.085	0.008	0.111	-0.837	1	2.747	2.049	-0.852	1.0	0.46	0.033	2017-01-01	00:40:00	US/Eastern
KOL	2017-01-01 05:55:00	-0.2	0.01	0.168	-1.251	-0.084	0.008	0.111	-0.829	1	2.748	2.049	-0.853	1.0	0.46	0.041	2017-01-01	00:55:00	US/Eastern
KOL	2017-01-01 06:10:00	-0.2	0.01	0.168	-1.25	-0.083	0.008	0.111	-0.821	1	2.75	2.049	-0.854	1.0	0.46	0.008	2017-01-01	01:10:00	US/Eastern
KOL	2017-01-01 06:25:00	-0.2	0.01	0.168	-1.25	-0.082	0.008	0.111	-0.813	1	2.752	2.049	-0.855	1.0	0.46	0.016	2017-01-01	01:25:00	US/Eastern
KOL	2017-01-01 06:40:00	-0.2	0.01	0.168	-1.249	-0.081	0.008	0.111	-0.805	1	2.753	2.048	-0.856	1.0	0.46	0.024	2017-01-01	01:40:00	US/Eastern
KOL	2017-01-01 06:55:00	-0.2	0.01	0.168	-1.249	-0.08	0.008	0.111	-0.797	1	2.755	2.048	-0.857	1.0	0.46	0.031	2017-01-01	01:55:00	US/Eastern
KOL	2017-01-01 07:10:00	-0.2	0.01	0.168	-1.248	-0.08	0.008	0.111	-0.79	1	2.756	2.048	-0.858	1.0	0.46	0.039	2017-01-01	02:10:00	US/Eastern
KOL	2017-01-01 07:25:00	-0.2	0.01	0.168	-1.248	-0.079	0.008	0.111	-0.782	1	2.758	2.048	-0.858	1.0	0.46	0.008	2017-01-01	02:25:00	US/Eastern
KOL	2017-01-01 07:40:00	-0.2	0.01	0.168	-1.247	-0.078	0.008	0.111	-0.775	1	2.759	2.048	-0.859	1.0	0.46	0.015	2017-01-01	02:40:00	US/Eastern
KOL	2017-01-01 07:55:00	-0.2	0.01	0.168	-1.247	-0.077	0.008	0.111	-0.767	1	2.761	2.047	-0.86	1.0	0.46	0.022	2017-01-01	02:55:00	US/Eastern
KOL	2017-01-01 08:10:00	-0.2	0.01	0.168	-1.246	-0.076	0.008	0.111	-0.76	1	2.762	2.047	-0.861	1.0	0.46	0.03	2017-01-01	03:10:00	US/Eastern
KOL	2017-01-01 08:25:00	-0.2	0.01	0.168	-1.246	-0.076	0.008	0.111	-0.753	1	2.764	2.047	-0.862	1.0	0.46	0.037	2017-01-01	03:25:00	US/Eastern
KOL	2017-01-01 08:40:00	-0.2	0.01	0.168	-1.246	-0.075	0.008	0.111	-0.745	1	2.766	2.047	-0.863	1.0	0.46	0.007	2017-01-01	03:40:00	US/Eastern
KOL	2017-01-01 08:55:00	-0.2	0.01	0.169	-1.245	-0.074	0.008	0.111	-0.738	1	2.767	2.046	-0.864	1.0	0.46	0.014	2017-01-01	03:55:00	US/Eastern
KOL	2017-01-02 14:10:00	0.0	0.019	0.162	-0.116	0.0	0.01	0.11	-0.095	1	2.7	2.13	-0.798	1.0	0.567	0.0	2017-01-02	09:10:00	US/Eastern
KOL	2017-01-02 14:25:00	0.0	0.019	0.162	-0.116	0.0	0.011	0.11	-0.096	1	2.699	2.13	-0.798	1.0	0.567	-0.001	2017-01-02	09:25:00	US/Eastern
KOL	2017-01-02 14:40:00	0.0	0.019	0.162	-0.117	0.0	0.011	0.11	-0.096	1	2.699	2.131	-0.797	1.0	0.567	-0.001	2017-01-02	09:40:00	US/Eastern
KOL	2017-01-02 14:55:00	0.0	0.019	0.161	-0.118	0.0	0.011	0.11	-0.097	1	2.698	2.131	-0.797	1.0	0.567	-0.001	2017-01-02	09:55:00	US/Eastern
KOL	2017-01-02 15:10:00	0.0	0.019	0.161	-0.119	0.0	0.011	0.11	-0.097	1	2.698	2.131	-0.797	1.0	0.567	-0.002	2017-01-02	10:10:00	US/Eastern
KOL	2017-01-02 15:25:00	0.0	0.019	0.161	-0.119	0.0	0.011	0.11	-0.098	1	2.697	2.132	-0.796	1.0	0.567	-0.002	2017-01-02	10:25:00	US/Eastern
KOL	2017-01-02 15:40:00	0.0	0.019	0.161	-0.12	0.0	0.011	0.11	-0.098	1	2.697	2.132	-0.796	1.0	0.567	-0.003	2017-01-02	10:40:00	US/Eastern
KOL	2017-01-02 15:55:00	0.0	0.019	0.161	-0.121	0.0	0.011	0.11	-0.099	1	2.696	2.132	-0.796	1.0	0.567	-0.001	2017-01-02	10:55:00	US/Eastern
KOL	2017-01-02 16:10:00	0.0	0.02	0.161	-0.121	0.0	0.011	0.11	-0.1	1	2.696	2.132	-0.795	1.0	0.567	-0.001	2017-01-02	11:10:00	US/Eastern
KOL	2017-01-02 16:25:00	0.0	0.02	0.161	-0.122	0.0	0.011	0.11	-0.1	1	2.695	2.133	-0.795	1.0	0.567	-0.002	2017-01-02	11:25:00	US/Eastern
KOL	2017-01-02 16:40:00	0.0	0.02	0.161	-0.123	0.0	0.011	0.11	-0.101	1	2.695	2.133	-0.795	1.0	0.567	-0.002	2017-01-02	11:40:00	US/Eastern
KOL	2017-01-02 16:55:00	-0.1	0.015	0.163	-0.705	-0.099	0.006	0.112	-0.937	2	2.744	2.103	-0.354	1.0	0.828	-0.838	2017-01-02	11:55:00	US/Eastern
KOL	2017-01-02 17:10:00	-0.1	0.015	0.163	-0.706	-0.098	0.006	0.112	-0.929	2	2.744	2.103	-0.354	1.0	0.828	0.007	2017-01-02	12:10:00	US/Eastern
KOL	2017-01-02 17:25:00	-0.1	0.015	0.163	-0.707	-0.097	0.006	0.112	-0.922	2	2.743	2.104	-0.353	1.0	0.828	0.015	2017-01-02	12:25:00	US/Eastern
KOL	2017-01-02 17:40:00	-0.1	0.015	0.163	-0.708	-0.096	0.006	0.112	-0.915	2	2.743	2.104	-0.353	1.0	0.828	0.022	2017-01-02	12:40:00	US/Eastern
KOL	2017-01-02 17:55:00	-0.1	0.015	0.163	-0.709	-0.095	0.007	0.112	-0.907	2	2.742	2.104	-0.353	1.0	0.828	0.029	2017-01-02	12:55:00	US/Eastern
KOL	2017-01-02 18:10:00	-0.1	0.015	0.163	-0.71	-0.094	0.007	0.112	-0.9	2	2.742	2.105	-0.352	1.0	0.828	0.037	2017-01-02	13:10:00	US/Eastern
KOL	2017-01-02 18:25:00	-0.1	0.015	0.162	-0.711	-0.093	0.007	0.112	-0.893	2	2.741	2.105	-0.352	1.0	0.828	0.007	2017-01-02	13:25:00	US/Eastern
KOL	2017-01-02 18:40:00	-0.1	0.016	0.162	-0.712	-0.092	0.007	0.112	-0.886	3	2.791	2.099	0.1	1.0	1.531	0.014	2017-01-02	13:40:00	US/Eastern
KOL	2017-01-02 18:55:00	-0.1	0.016	0.162	-0.713	-0.091	0.007	0.112	-0.879	3	2.79	2.099	0.1	1.0	1.531	0.021	2017-01-02	13:55:00	US/Eastern
KOL	2017-01-02 19:10:00	-0.1	0.016	0.162	-0.714	-0.09	0.007	0.112	-0.872	3	2.79	2.099	0.1	1.0	1.531	0.028	2017-01-02	14:10:00	US/Eastern
KOL	2017-01-02 19:25:00	-0.1	0.016	0.162	-0.715	-0.089	0.007	0.112	-0.865	3	2.789	2.1	0.1	1.0	1.531	0.035	2017-01-02	14:25:00	US/Eastern
KOL	2017-01-02 19:40:00	-0.1	0.016	0.162	-0.716	-0.088	0.007	0.111	-0.859	3	2.789	2.1	0.101	1.0	1.531	0.007	2017-01-02	14:40:00	US/Eastern
KOL	2017-01-02 19:55:00	-0.1	0.016	0.162	-0.717	-0.087	0.007	0.111	-0.852	3	2.788	2.1	0.101	1.0	1.531	0.013	2017-01-02	14:55:00	US/Eastern
KOL	2017-01-02 20:10:00	-0.1	0.016	0.162	-0.718	-0.087	0.008	0.111	-0.845	3	2.788	2.101	0.101	1.0	1.531	0.02	2017-01-02	15:10:00	US/Eastern
KOL	2017-01-02 20:25:00	-0.1	0.016	0.162	-0.719	-0.086	0.008	0.111	-0.839	3	2.787	2.101	0.101	1.0	1.531	0.027	2017-01-02	15:25:00	US/Eastern
KOL	2017-01-02 20:40:00	-0.1	0.016	0.162	-0.72	-0.085	0.008	0.111	-0.832	3	2.786	2.101	0.102	1.0	1.531	0.033	2017-01-02	15:40:00	US/Eastern
KOL	2017-01-02 20:55:00	-0.1	0.017	0.162	-0.721	-0.084	0.008	0.111	-0.826	3	2.786	2.102	0.102	1.0	1.531	0.006	2017-01-02	15:55:00	US/Eastern
KOL	2017-01-02 21:10:00	-0.1	0.017	0.162	-0.722	-0.083	0.008	0.111	-0.819	3	2.785	2.102	0.102	1.0	1.531	0.013	2017-01-02	16:10:00	US/Eastern
KOL	2017-01-02 21:25:00	-0.1	0.017	0.162	-0.723	-0.082	0.008	0.111	-0.813	3	2.785	2.102	0.102	1.0	1.531	0.019	2017-01-02	16:25:00	US/Eastern
KOL	2017-01-02 21:40:00	-0.1	0.017	0.161	-0.724	-0.081	0.008	0.111	-0.807	3	2.784	2.103	0.103	1.0	1.531	0.025	2017-01-02	16:40:00	US/Eastern
KOL	2017-01-02 21:55:00	-0.1	0.017	0.161	-0.725	-0.08	0.008	0.111	-0.801	3	2.784	2.103	0.103	1.0	1.531	0.032	2017-01-02	16:55:00	US/Eastern
KOL	2017-01-02 22:10:00	-0.1	0.017	0.161	-0.726	-0.08	0.008	0.111	-0.794	3	2.783	2.103	0.103	1.0	1.531	0.006	2017-01-02	17:10:00	US/Eastern
KOL	2017-01-02 22:25:00	-0.1	0.017	0.161	-0.727	-0.079	0.008	0.111	-0.788	3	2.783	2.104	0.103	1.0	1.531	0.012	2017-01-02	17:25:00	US/Eastern
KOL	2017-01-02 22:40:00	-0.1	0.017	0.161	-0.728	-0.078	0.009	0.111	-0.782	3	2.782	2.104	0.103	1.0	1.531	0.018	2017-01-02	17:40:00	US/Eastern
KOL	2017-01-02 22:55:00	-0.1	0.017	0.161	-0.729	-0.077	0.009	0.111	-0.776	3	2.782	2.104	0.104	1.0	1.531	0.024	2017-01-02	17:55:00	US/Eastern
KOL	2017-01-02 23:10:00	-0.1	0.017	0.161	-0.73	-0.076	0.009	0.11	-0.771	3	2.781	2.105	0.104	1.0	1.531	0.03	2017-01-02	18:10:00	US/Eastern
KOL	2017-01-02 23:25:00	-0.1	0.018	0.161	-0.731	-0.076	0.009	0.11	-0.765	3	2.781	2.105	0.104	1.0	1.531	0.006	2017-01-02	18:25:00	US/Eastern
KOL	2017-01-02 23:40:00	-0.1	0.018	0.161	-0.732	-0.075	0.009	0.11	-0.759	3	2.78	2.105	0.104	1.0	1.531	0.012	2017-01-02	18:40:00	US/Eastern
KOL	2017-01-02 23:55:00	-0.1	0.018	0.161	-0.733	-0.074	0.009	0.11	-0.753	3	2.78	2.106	0.105	1.0	1.531	0.017	2017-01-02	18:55:00	US/Eastern
KOL	2017-01-03 00:10:00	-0.1	0.018	0.161	-0.734	-0.073	0.009	0.11	-0.748	3	2.779	2.106	0.105	1.0	1.531	0.023	2017-01-02	19:10:00	US/Eastern
KOL	2017-01-03 00:25:00	-0.1	0.018	0.161	-0.735	-0.073	0.009	0.11	-0.742	3	2.779	2.106	0.105	1.0	1.531	0.028	2017-01-02	19:25:00	US/Eastern
KOL	2017-01-03 00:40:00	-0.1	0.018	0.161	-0.736	-0.072	0.009	0.11	-0.737	3	2.778	2.107	0.105	1.0	1.531	0.006	2017-01-02	19:40:00	US/Eastern
KOL	2017-01-03 00:55:00	-0.1	0.018	0.16	-0.737	-0.071	0.009	0.11	-0.731	3	2.778	2.107	0.106	1.0	1.531	0.011	2017-01-02	19:55:00	US/Eastern
KOL	2017-01-03 01:10:00	-0.1	0.018	0.16	-0.738	-0.07	0.01	0.11	-0.726	3	2.777	2.107	0.106	1.0	1.531	0.016	2017-01-02	20:10:00	US/Eastern
KOL	2017-01-03 01:25:00	-0.1	0.018	0.16	-0.739	-0.07	0.01	0.11	-0.72	3	2.777	2.108	0.106	1.0	1.531	0.022	2017-01-02	20:25:00	US/Eastern
KOL	2017-01-03 01:40:00	-0.1	0.019	0.16	-0.74	-0.069	0.01	0.11	-0.715	3	2.776	2.108	0.106	1.0	1.531	0.027	2017-01-02	20:40:00	US/Eastern
KOL	2017-01-03 01:55:00	-0.1	0.019	0.16	-0.741	-0.068	0.01	0.11	-0.71	3	2.776	2.108	0.106	1.0	1.531	0.005	2017-01-02	20:55:00	US/Eastern
KOL	2017-01-03 02:10:00	-0.1	0.019	0.16	-0.742	-0.067	0.01	0.11	-0.705	3	2.775	2.109	0.107	1.0	1.531	0.01	2017-01-02	21:10:00	US/Eastern
KOL	2017-01-03 02:25:00	-0.1	0.019	0.16	-0.743	-0.067	0.01	0.11	-0.7	3	2.774	2.109	0.107	1.0	1.531	0.016	2017-01-02	21:25:00	US/Eastern
KOL	2017-01-03 02:40:00	-0.1	0.019	0.16	-0.744	-0.066	0.01	0.11	-0.695	3	2.774	2.109	0.107	1.0	1.531	0.021	2017-01-02	21:40:00	US/Eastern
KOL	2017-01-03 02:55:00	-0.1	0.019	0.16	-0.745	-0.065	0.01	0.109	-0.69	3	2.773	2.11	0.107	1.0	1.531	0.026	2017-01-02	21:55:00	US/Eastern
KOL	2017-01-03 03:10:00	-0.1	0.019	0.16	-0.746	-0.065	0.01	0.109	-0.685	3	2.773	2.11	0.108	1.0	1.531	0.005	2017-01-02	22:10:00	US/Eastern
KOL	2017-01-03 03:25:00	-0.1	0.019	0.16	-0.747	-0.064	0.01	0.109	-0.68	3	2.772	2.11	0.108	1.0	1.531	0.01	2017-01-02	22:25:00	US/Eastern
KOL	2017-01-03 03:40:00	-0.1	0.019	0.16	-0.748	-0.063	0.01	0.109	-0.675	3	2.772	2.111	0.108	1.0	1.531	0.015	2017-01-02	22:40:00	US/Eastern
KOL	2017-01-03 03:55:00	-0.1	0.019	0.159	-0.749	-0.063	0.011	0.109	-0.67	3	2.771	2.111	0.108	1.0	1.531	0.02	2017-01-02	22:55:00	US/Eastern
KOL	2017-01-03 04:10:00	-0.1	0.02	0.159	-0.75	-0.062	0.011	0.109	-0.665	3	2.771	2.111	0.109	1.0	1.531	0.024	2017-01-02	23:10:00	US/Eastern
KOL	2017-01-03 04:25:00	-0.1	0.02	0.159	-0.751	-0.061	0.011	0.109	-0.661	3	2.77	2.112	0.109	1.0	1.531	0.005	2017-01-02	23:25:00	US/Eastern
KOL	2017-01-03 04:40:00	-0.1	0.02	0.159	-0.752	-0.061	0.011	0.109	-0.656	3	2.77	2.112	0.109	1.0	1.531	0.009	2017-01-02	23:40:00	US/Eastern
KOL	2017-01-03 04:55:00	-0.1	0.02	0.159	-0.753	-0.06	0.011	0.109	-0.651	3	2.769	2.112	0.109	1.0	1.531	0.014	2017-01-02	23:55:00	US/Eastern
KOL	2017-01-03 05:10:00	-0.1	0.02	0.159	-0.754	-0.059	0.011	0.109	-0.647	3	2.769	2.113	0.109	1.0	1.531	0.018	2017-01-03	00:10:00	US/Eastern
KOL	2017-01-03 05:25:00	-0.1	0.02	0.159	-0.755	-0.059	0.011	0.109	-0.642	3	2.768	2.113	0.11	1.0	1.531	0.023	2017-01-03	00:25:00	US/Eastern
KOL	2017-01-03 05:40:00	-0.1	0.02	0.159	-0.756	-0.058	0.011	0.109	-0.638	3	2.768	2.113	0.11	1.0	1.531	0.004	2017-01-03	00:40:00	US/Eastern
KOL	2017-01-03 05:55:00	-0.1	0.02	0.159	-0.757	-0.058	0.011	0.109	-0.633	3	2.767	2.114	0.11	1.0	1.531	0.009	2017-01-03	00:55:00	US/Eastern
KOL	2017-01-03 06:10:00	-0.1	0.02	0.159	-0.758	-0.057	0.011	0.109	-0.629	3	2.767	2.114	0.11	1.0	1.531	0.013	2017-01-03	01:10:00	US/Eastern
KOL	2017-01-03 06:25:00	-0.1	0.02	0.159	-0.76	-0.056	0.011	0.109	-0.625	3	2.766	2.114	0.111	1.0	1.531	0.017	2017-01-03	01:25:00	US/Eastern
KOL	2017-01-03 06:40:00	-0.1	0.021	0.159	-0.761	-0.056	0.012	0.109	-0.621	3	2.766	2.115	0.111	1.0	1.531	0.022	2017-01-03	01:40:00	US/Eastern
KOL	2017-01-03 06:55:00	-0.1	0.021	0.158	-0.762	-0.055	0.012	0.109	-0.616	3	2.765	2.115	0.111	1.0	1.531	0.004	2017-01-03	01:55:00	US/Eastern
KOL	2017-01-03 07:10:00	-0.1	0.021	0.158	-0.763	-0.055	0.012	0.108	-0.612	3	2.765	2.115	0.111	1.0	1.531	0.008	2017-01-03	02:10:00	US/Eastern
KOL	2017-01-03 07:25:00	-0.1	0.021	0.158	-0.764	-0.054	0.012	0.108	-0.608	3	2.764	2.116	0.112	1.0	1.531	0.012	2017-01-03	02:25:00	US/Eastern
KOL	2017-01-03 07:40:00	-0.1	0.021	0.158	-0.765	-0.054	0.012	0.108	-0.604	3	2.764	2.116	0.112	1.0	1.531	0.017	2017-01-03	02:40:00	US/Eastern
KOL	2017-01-03 07:55:00	-0.1	0.021	0.158	-0.766	-0.053	0.012	0.108	-0.6	3	2.763	2.116	0.112	1.0	1.531	0.021	2017-01-03	02:55:00	US/Eastern
KOL	2017-01-03 08:10:00	-0.1	0.021	0.158	-0.767	-0.052	0.012	0.108	-0.596	3	2.763	2.117	0.112	1.0	1.531	0.004	2017-01-03	03:10:00	US/Eastern
KOL	2017-01-03 08:25:00	-0.1	0.021	0.158	-0.768	-0.052	0.012	0.108	-0.592	3	2.762	2.117	0.112	1.0	1.531	0.008	2017-01-03	03:25:00	US/Eastern
KOL	2017-01-03 08:40:00	-0.1	0.021	0.158	-0.769	-0.051	0.012	0.108	-0.588	3	2.761	2.117	0.113	1.0	1.531	0.012	2017-01-03	03:40:00	US/Eastern
KOL	2017-01-03 08:55:00	-0.1	0.022	0.158	-0.77	-0.051	0.012	0.108	-0.584	3	2.761	2.118	0.113	1.0	1.531	0.016	2017-01-03	03:55:00	US/Eastern
KOL	2017-01-03 09:10:00	-0.1	0.022	0.158	-0.771	-0.05	0.012	0.108	-0.581	3	2.76	2.118	0.113	1.0	1.531	0.019	2017-01-03	04:10:00	US/Eastern
KOL	2017-01-03 09:25:00	-0.1	0.022	0.158	-0.772	-0.05	0.012	0.108	-0.577	3	2.76	2.118	0.113	1.0	1.531	0.004	2017-01-03	04:25:00	US/Eastern
KOL	2017-01-03 09:40:00	-0.1	0.022	0.158	-0.773	-0.049	0.013	0.108	-0.573	3	2.759	2.119	0.114	1.0	1.531	0.007	2017-01-03	04:40:00	US/Eastern
KOL	2017-01-03 09:55:00	-0.1	0.022	0.157	-0.774	-0.049	0.013	0.108	-0.569	3	2.759	2.119	0.114	1.0	1.531	0.011	2017-01-03	04:55:00	US/Eastern
KOL	2017-01-03 10:10:00	-0.1	0.022	0.157	-0.776	-0.048	0.013	0.108	-0.566	3	2.758	2.119	0.114	1.0	1.531	0.015	2017-01-03	05:10:00	US/Eastern
KOL	2017-01-03 10:25:00	-0.1	0.022	0.157	-0.777	-0.048	0.013	0.108	-0.562	3	2.758	2.12	0.114	1.0	1.531	0.018	2017-01-03	05:25:00	US/Eastern
KOL	2017-01-03 10:40:00	-0.1	0.022	0.157	-0.778	-0.047	0.013	0.108	-0.559	3	2.757	2.12	0.114	1.0	1.531	0.004	2017-01-03	05:40:00	US/Eastern
KOL	2017-01-03 10:55:00	-0.1	0.022	0.157	-0.779	-0.047	0.013	0.108	-0.555	3	2.757	2.12	0.115	1.0	1.531	0.007	2017-01-03	05:55:00	US/Eastern
KOL	2017-01-03 11:10:00	-0.1	0.022	0.157	-0.78	-0.046	0.013	0.108	-0.552	3	2.756	2.121	0.115	1.0	1.531	0.011	2017-01-03	06:10:00	US/Eastern
KOL	2017-01-03 11:25:00	-0.1	0.023	0.157	-0.781	-0.046	0.013	0.108	-0.548	3	2.756	2.121	0.115	1.0	1.531	0.014	2017-01-03	06:25:00	US/Eastern
KOL	2017-01-03 11:40:00	-0.1	0.023	0.157	-0.782	-0.045	0.013	0.108	-0.545	3	2.755	2.121	0.115	1.0	1.531	0.017	2017-01-03	06:40:00	US/Eastern
KOL	2017-01-03 11:55:00	-0.1	0.023	0.157	-0.783	-0.045	0.013	0.107	-0.542	3	2.755	2.122	0.116	1.0	1.531	0.003	2017-01-03	06:55:00	US/Eastern
KOL	2017-01-03 12:10:00	-0.1	0.023	0.157	-0.784	-0.044	0.013	0.107	-0.538	3	2.754	2.122	0.116	1.0	1.531	0.007	2017-01-03	07:10:00	US/Eastern
KOL	2017-01-03 12:25:00	-0.1	0.023	0.157	-0.785	-0.044	0.013	0.107	-0.535	3	2.754	2.122	0.116	1.0	1.531	0.01	2017-01-03	07:25:00	US/Eastern
KOL	2017-01-03 12:40:00	-0.1	0.023	0.157	-0.786	-0.044	0.014	0.107	-0.532	3	2.753	2.122	0.116	1.0	1.531	0.013	2017-01-03	07:40:00	US/Eastern
KOL	2017-01-03 12:55:00	-0.1	0.023	0.156	-0.788	-0.043	0.014	0.107	-0.529	3	2.753	2.123	0.117	1.0	1.531	0.016	2017-01-03	07:55:00	US/Eastern
KOL	2017-01-03 13:10:00	-0.1	0.023	0.156	-0.789	-0.043	0.014	0.107	-0.525	3	2.752	2.123	0.117	1.0	1.531	0.003	2017-01-03	08:10:00	US/Eastern
KOL	2017-01-03 13:25:00	-0.1	0.023	0.156	-0.79	-0.042	0.014	0.107	-0.522	3	2.752	2.123	0.117	1.0	1.531	0.006	2017-01-03	08:25:00	US/Eastern
KOL	2017-01-03 13:40:00	-0.1	0.024	0.156	-0.791	-0.042	0.014	0.107	-0.519	3	2.751	2.124	0.117	1.0	1.531	0.009	2017-01-03	08:40:00	US/Eastern
KOL	2017-01-03 13:55:00	-0.1	0.024	0.156	-0.792	-0.041	0.014	0.107	-0.516	3	2.751	2.124	0.117	1.0	1.531	0.012	2017-01-03	08:55:00	US/Eastern
KOL	2017-01-03 14:10:00	-0.1	0.024	0.156	-0.793	-0.041	0.014	0.107	-0.513	2	2.7	2.13	-0.329	1.0	0.641	0.015	2017-01-03	09:10:00	US/Eastern
KOL	2017-01-03 14:25:00	-0.1	0.023	0.156	-0.792	-0.04	0.014	0.107	-0.509	2	2.699	2.13	-0.328	1.0	0.641	0.004	2017-01-03	09:25:00	US/Eastern
KOL	2017-01-03 14:40:00	-0.1	0.023	0.156	-0.792	-0.04	0.014	0.107	-0.504	2	2.699	2.13	-0.328	1.0	0.641	0.009	2017-01-03	09:40:00	US/Eastern
KOL	2017-01-03 14:55:00	-0.1	0.023	0.156	-0.791	-0.04	0.014	0.107	-0.5	3	2.748	2.125	0.118	1.0	1.286	0.013	2017-01-03	09:55:00	US/Eastern
KOL	2017-01-03 15:10:00	-0.1	0.023	0.156	-0.79	-0.039	0.014	0.107	-0.495	3	2.748	2.125	0.119	1.0	1.286	0.018	2017-01-03	10:10:00	US/Eastern
KOL	2017-01-03 15:25:00	-0.1	0.023	0.155	-0.789	-0.039	0.013	0.107	-0.491	3	2.747	2.125	0.119	1.0	1.286	0.022	2017-01-03	10:25:00	US/Eastern
