Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VEA.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 17:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VEA	2017-01-01 00:10:00	0.063	-0.328	0.469	0.833	0.051	-0.189	0.274	0.875	4	2.083	1.652	1.16	0.5	2.017	-0.002	2016-12-31	19:10:00	US/Eastern
VEA	2017-01-01 00:25:00	0.063	-0.328	0.469	0.833	0.05	-0.189	0.274	0.873	4	2.085	1.652	1.159	0.5	2.017	-0.002	2016-12-31	19:25:00	US/Eastern
VEA	2017-01-01 00:40:00	0.063	-0.328	0.469	0.832	0.05	-0.189	0.274	0.871	4	2.088	1.652	1.158	0.5	2.017	-0.002	2016-12-31	19:40:00	US/Eastern
VEA	2017-01-01 00:55:00	0.063	-0.328	0.469	0.831	0.049	-0.189	0.274	0.869	4	2.09	1.652	1.157	0.5	2.017	-0.002	2016-12-31	19:55:00	US/Eastern
VEA	2017-01-01 01:10:00	0.063	-0.328	0.47	0.83	0.049	-0.189	0.274	0.867	4	2.092	1.652	1.155	0.5	2.017	-0.002	2016-12-31	20:10:00	US/Eastern
VEA	2017-01-01 01:25:00	0.063	-0.327	0.47	0.83	0.048	-0.189	0.274	0.865	4	2.094	1.652	1.154	0.5	2.017	-0.002	2016-12-31	20:25:00	US/Eastern
VEA	2017-01-01 01:40:00	0.063	-0.327	0.47	0.829	0.048	-0.189	0.274	0.863	4	2.096	1.651	1.153	0.5	2.017	-0.002	2016-12-31	20:40:00	US/Eastern
VEA	2017-01-01 01:55:00	0.063	-0.327	0.47	0.828	0.047	-0.189	0.274	0.861	4	2.098	1.651	1.152	0.5	2.017	-0.002	2016-12-31	20:55:00	US/Eastern
VEA	2017-01-01 02:10:00	0.063	-0.327	0.47	0.828	0.047	-0.189	0.274	0.86	4	2.1	1.651	1.151	0.5	2.017	-0.002	2016-12-31	21:10:00	US/Eastern
VEA	2017-01-01 02:25:00	0.063	-0.327	0.471	0.827	0.046	-0.189	0.274	0.858	4	2.102	1.651	1.15	0.5	2.017	-0.002	2016-12-31	21:25:00	US/Eastern
VEA	2017-01-01 02:40:00	0.063	-0.327	0.471	0.826	0.046	-0.189	0.274	0.856	4	2.104	1.651	1.148	0.5	2.017	-0.002	2016-12-31	21:40:00	US/Eastern
VEA	2017-01-01 02:55:00	0.063	-0.326	0.471	0.826	0.045	-0.189	0.274	0.854	4	2.106	1.651	1.147	0.5	2.017	-0.002	2016-12-31	21:55:00	US/Eastern
VEA	2017-01-01 03:10:00	0.063	-0.326	0.471	0.825	0.045	-0.189	0.274	0.853	4	2.108	1.651	1.146	0.5	2.017	-0.002	2016-12-31	22:10:00	US/Eastern
VEA	2017-01-01 03:25:00	0.063	-0.326	0.471	0.824	0.044	-0.189	0.274	0.851	4	2.11	1.65	1.145	0.5	2.017	-0.002	2016-12-31	22:25:00	US/Eastern
VEA	2017-01-01 03:40:00	0.063	-0.326	0.472	0.824	0.044	-0.189	0.274	0.849	4	2.113	1.65	1.144	0.5	2.017	-0.002	2016-12-31	22:40:00	US/Eastern
VEA	2017-01-01 03:55:00	0.063	-0.326	0.472	0.823	0.044	-0.189	0.274	0.847	4	2.115	1.65	1.143	0.5	2.017	-0.002	2016-12-31	22:55:00	US/Eastern
VEA	2017-01-01 04:10:00	0.063	-0.326	0.472	0.822	0.043	-0.189	0.274	0.846	4	2.117	1.65	1.141	0.5	2.017	-0.002	2016-12-31	23:10:00	US/Eastern
VEA	2017-01-01 04:25:00	0.063	-0.325	0.472	0.822	0.043	-0.189	0.274	0.844	4	2.119	1.65	1.14	0.5	2.017	-0.002	2016-12-31	23:25:00	US/Eastern
VEA	2017-01-01 04:40:00	0.063	-0.325	0.472	0.821	0.042	-0.189	0.274	0.842	4	2.121	1.65	1.139	0.5	2.017	-0.002	2016-12-31	23:40:00	US/Eastern
VEA	2017-01-01 04:55:00	0.063	-0.325	0.472	0.82	0.042	-0.189	0.274	0.841	4	2.123	1.65	1.138	0.5	2.017	-0.002	2016-12-31	23:55:00	US/Eastern
VEA	2017-01-01 05:10:00	0.063	-0.325	0.473	0.82	0.041	-0.189	0.274	0.839	4	2.125	1.649	1.137	0.5	2.017	-0.002	2017-01-01	00:10:00	US/Eastern
VEA	2017-01-01 05:25:00	0.063	-0.325	0.473	0.819	0.041	-0.189	0.274	0.838	4	2.127	1.649	1.136	0.5	2.017	-0.002	2017-01-01	00:25:00	US/Eastern
VEA	2017-01-01 05:40:00	0.063	-0.325	0.473	0.818	0.04	-0.189	0.274	0.836	4	2.129	1.649	1.135	0.5	2.017	-0.002	2017-01-01	00:40:00	US/Eastern
VEA	2017-01-01 05:55:00	0.063	-0.324	0.473	0.818	0.04	-0.189	0.274	0.834	4	2.131	1.649	1.133	0.5	2.017	-0.002	2017-01-01	00:55:00	US/Eastern
VEA	2017-01-01 06:10:00	0.063	-0.324	0.473	0.817	0.04	-0.189	0.274	0.833	4	2.133	1.649	1.132	0.5	2.017	-0.002	2017-01-01	01:10:00	US/Eastern
VEA	2017-01-01 06:25:00	0.063	-0.324	0.474	0.816	0.039	-0.189	0.274	0.831	4	2.135	1.648	1.131	0.5	2.017	-0.002	2017-01-01	01:25:00	US/Eastern
VEA	2017-01-01 06:40:00	0.063	-0.324	0.474	0.815	0.039	-0.189	0.274	0.83	4	2.138	1.648	1.13	0.5	2.017	-0.002	2017-01-01	01:40:00	US/Eastern
VEA	2017-01-01 06:55:00	0.063	-0.324	0.474	0.815	0.038	-0.189	0.274	0.828	4	2.14	1.648	1.129	0.5	2.017	-0.002	2017-01-01	01:55:00	US/Eastern
VEA	2017-01-01 07:10:00	0.063	-0.323	0.474	0.814	0.038	-0.189	0.274	0.827	4	2.142	1.648	1.128	0.5	2.017	-0.002	2017-01-01	02:10:00	US/Eastern
VEA	2017-01-01 07:25:00	0.063	-0.323	0.474	0.813	0.038	-0.189	0.274	0.825	4	2.144	1.648	1.127	0.5	2.017	-0.001	2017-01-01	02:25:00	US/Eastern
VEA	2017-01-01 07:40:00	0.063	-0.323	0.474	0.813	0.037	-0.189	0.275	0.824	4	2.146	1.648	1.125	0.5	2.017	-0.001	2017-01-01	02:40:00	US/Eastern
VEA	2017-01-01 07:55:00	0.063	-0.323	0.475	0.812	0.037	-0.189	0.275	0.822	4	2.148	1.647	1.124	0.5	2.017	-0.001	2017-01-01	02:55:00	US/Eastern
VEA	2017-01-01 08:10:00	0.063	-0.323	0.475	0.811	0.036	-0.189	0.275	0.821	4	2.15	1.647	1.123	0.5	2.017	-0.001	2017-01-01	03:10:00	US/Eastern
VEA	2017-01-01 08:25:00	0.063	-0.323	0.475	0.811	0.036	-0.189	0.275	0.819	4	2.152	1.647	1.122	0.5	2.017	-0.001	2017-01-01	03:25:00	US/Eastern
VEA	2017-01-01 08:40:00	0.063	-0.322	0.475	0.81	0.036	-0.189	0.275	0.818	4	2.154	1.647	1.121	0.5	2.017	-0.001	2017-01-01	03:40:00	US/Eastern
VEA	2017-01-01 08:55:00	0.063	-0.322	0.475	0.809	0.035	-0.189	0.275	0.817	4	2.156	1.647	1.12	0.5	2.017	-0.001	2017-01-01	03:55:00	US/Eastern
VEA	2017-01-01 09:10:00	0.063	-0.322	0.476	0.809	0.035	-0.189	0.275	0.815	4	2.158	1.646	1.119	0.5	2.017	-0.001	2017-01-01	04:10:00	US/Eastern
VEA	2017-01-01 09:25:00	0.063	-0.322	0.476	0.808	0.035	-0.189	0.275	0.814	4	2.16	1.646	1.118	0.5	2.017	-0.001	2017-01-01	04:25:00	US/Eastern
VEA	2017-01-01 09:40:00	0.063	-0.322	0.476	0.807	0.034	-0.189	0.275	0.812	4	2.163	1.646	1.116	0.5	2.017	-0.001	2017-01-01	04:40:00	US/Eastern
VEA	2017-01-01 09:55:00	0.063	-0.322	0.476	0.807	0.034	-0.189	0.275	0.811	4	2.165	1.646	1.115	0.5	2.017	-0.001	2017-01-01	04:55:00	US/Eastern
VEA	2017-01-01 10:10:00	0.063	-0.321	0.476	0.806	0.034	-0.189	0.275	0.81	4	2.167	1.645	1.114	0.5	2.017	-0.001	2017-01-01	05:10:00	US/Eastern
VEA	2017-01-01 10:25:00	0.063	-0.321	0.476	0.805	0.033	-0.189	0.275	0.808	4	2.169	1.645	1.113	0.5	2.017	-0.001	2017-01-01	05:25:00	US/Eastern
VEA	2017-01-01 10:40:00	0.063	-0.321	0.477	0.805	0.033	-0.189	0.275	0.807	4	2.171	1.645	1.112	0.5	2.017	-0.001	2017-01-01	05:40:00	US/Eastern
VEA	2017-01-01 10:55:00	0.063	-0.321	0.477	0.804	0.033	-0.189	0.275	0.806	4	2.173	1.645	1.111	0.5	2.017	-0.001	2017-01-01	05:55:00	US/Eastern
VEA	2017-01-01 11:10:00	0.063	-0.321	0.477	0.804	0.032	-0.189	0.275	0.804	4	2.175	1.645	1.11	0.5	2.017	-0.001	2017-01-01	06:10:00	US/Eastern
VEA	2017-01-01 11:25:00	0.063	-0.321	0.477	0.803	0.032	-0.189	0.275	0.803	4	2.177	1.644	1.109	0.5	2.017	-0.001	2017-01-01	06:25:00	US/Eastern
VEA	2017-01-01 11:40:00	0.063	-0.32	0.477	0.802	0.032	-0.189	0.275	0.802	4	2.179	1.644	1.107	0.5	2.017	-0.001	2017-01-01	06:40:00	US/Eastern
VEA	2017-01-01 11:55:00	0.063	-0.32	0.478	0.802	0.031	-0.189	0.275	0.801	4	2.181	1.644	1.106	0.5	2.017	-0.001	2017-01-01	06:55:00	US/Eastern
VEA	2017-01-01 12:10:00	0.063	-0.32	0.478	0.801	0.031	-0.189	0.275	0.799	4	2.183	1.644	1.105	0.5	2.017	-0.001	2017-01-01	07:10:00	US/Eastern
VEA	2017-01-01 12:25:00	0.063	-0.32	0.478	0.8	0.031	-0.189	0.275	0.798	4	2.185	1.643	1.104	0.5	2.017	-0.001	2017-01-01	07:25:00	US/Eastern
VEA	2017-01-01 12:40:00	0.063	-0.32	0.478	0.8	0.03	-0.189	0.275	0.797	4	2.188	1.643	1.103	0.5	2.017	-0.001	2017-01-01	07:40:00	US/Eastern
VEA	2017-01-01 12:55:00	0.063	-0.32	0.478	0.799	0.03	-0.189	0.275	0.796	4	2.19	1.643	1.102	0.5	2.017	-0.001	2017-01-01	07:55:00	US/Eastern
VEA	2017-01-01 13:10:00	0.063	-0.319	0.478	0.798	0.03	-0.189	0.275	0.794	4	2.192	1.643	1.101	0.5	2.017	-0.001	2017-01-01	08:10:00	US/Eastern
VEA	2017-01-01 13:25:00	0.063	-0.319	0.479	0.798	0.029	-0.189	0.275	0.793	4	2.194	1.642	1.1	0.5	2.017	-0.001	2017-01-01	08:25:00	US/Eastern
VEA	2017-01-01 13:40:00	0.063	-0.319	0.479	0.797	0.029	-0.189	0.275	0.792	4	2.196	1.642	1.099	0.5	2.017	-0.001	2017-01-01	08:40:00	US/Eastern
VEA	2017-01-01 13:55:00	0.063	-0.319	0.479	0.796	0.029	-0.189	0.275	0.791	4	2.198	1.642	1.098	0.5	2.017	-0.001	2017-01-01	08:55:00	US/Eastern
VEA	2017-01-01 14:10:00	0.063	-0.319	0.479	0.796	0.028	-0.189	0.275	0.79	4	2.2	1.642	1.097	0.5	2.322	-0.001	2017-01-01	09:10:00	US/Eastern
VEA	2017-01-01 14:25:00	0.063	-0.318	0.479	0.795	0.028	-0.188	0.274	0.788	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	09:25:00	US/Eastern
VEA	2017-01-01 14:40:00	0.063	-0.318	0.479	0.794	0.028	-0.188	0.274	0.786	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	09:40:00	US/Eastern
VEA	2017-01-01 14:55:00	0.063	-0.317	0.478	0.793	0.028	-0.187	0.274	0.785	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	09:55:00	US/Eastern
VEA	2017-01-01 15:10:00	0.063	-0.316	0.478	0.792	0.027	-0.187	0.273	0.783	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	10:10:00	US/Eastern
VEA	2017-01-01 15:25:00	0.063	-0.316	0.478	0.791	0.027	-0.186	0.273	0.782	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	10:25:00	US/Eastern
VEA	2017-01-01 15:40:00	0.063	-0.315	0.478	0.791	0.027	-0.186	0.273	0.78	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	10:40:00	US/Eastern
VEA	2017-01-01 15:55:00	0.063	-0.315	0.478	0.79	0.026	-0.186	0.272	0.779	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	10:55:00	US/Eastern
VEA	2017-01-01 16:10:00	0.063	-0.314	0.477	0.789	0.026	-0.185	0.272	0.777	4	2.2	1.642	1.097	0.5	2.322	-0.002	2017-01-01	11:10:00	US/Eastern
VEA	2017-01-01 16:25:00	0.063	-0.314	0.477	0.788	0.026	-0.185	0.271	0.776	3	2.15	1.599	0.532	0.667	2.051	-0.002	2017-01-01	11:25:00	US/Eastern
VEA	2017-01-01 16:40:00	0.063	-0.313	0.477	0.787	0.026	-0.184	0.271	0.774	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	11:40:00	US/Eastern
VEA	2017-01-01 16:55:00	0.063	-0.312	0.477	0.786	0.025	-0.184	0.271	0.773	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	11:55:00	US/Eastern
VEA	2017-01-01 17:10:00	0.063	-0.312	0.476	0.786	0.025	-0.183	0.27	0.771	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	12:10:00	US/Eastern
VEA	2017-01-01 17:25:00	0.063	-0.311	0.476	0.785	0.025	-0.183	0.27	0.77	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	12:25:00	US/Eastern
VEA	2017-01-01 17:40:00	0.063	-0.311	0.476	0.784	0.025	-0.183	0.27	0.768	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	12:40:00	US/Eastern
VEA	2017-01-01 17:55:00	0.063	-0.31	0.476	0.783	0.024	-0.182	0.269	0.767	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	12:55:00	US/Eastern
VEA	2017-01-01 18:10:00	0.063	-0.309	0.475	0.782	0.024	-0.182	0.269	0.765	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	13:10:00	US/Eastern
VEA	2017-01-01 18:25:00	0.063	-0.309	0.475	0.781	0.024	-0.181	0.268	0.764	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	13:25:00	US/Eastern
VEA	2017-01-01 18:40:00	0.063	-0.308	0.475	0.781	0.024	-0.181	0.268	0.763	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	13:40:00	US/Eastern
VEA	2017-01-01 18:55:00	0.063	-0.308	0.475	0.78	0.023	-0.18	0.268	0.761	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	13:55:00	US/Eastern
VEA	2017-01-01 19:10:00	0.063	-0.307	0.475	0.779	0.023	-0.18	0.267	0.76	1	2.05	1.605	-0.654	1.0	1.237	-0.001	2017-01-01	14:10:00	US/Eastern
VEA	2017-01-03 14:40:00	0.0	-0.24	0.451	0.532	0.0	-0.133	0.233	0.569	1	1.847	1.599	-0.53	1.0	0.662	0.0	2017-01-03	09:40:00	US/Eastern
VEA	2017-01-03 14:55:00	0.0	-0.24	0.451	0.531	0.0	-0.133	0.233	0.569	1	1.845	1.6	-0.528	1.0	0.662	-0.001	2017-01-03	09:55:00	US/Eastern
VEA	2017-01-03 15:10:00	0.0	-0.239	0.451	0.531	0.0	-0.132	0.233	0.568	1	1.844	1.6	-0.527	1.0	0.662	-0.001	2017-01-03	10:10:00	US/Eastern
VEA	2017-01-03 15:25:00	0.0	-0.239	0.451	0.53	0.0	-0.132	0.233	0.567	1	1.842	1.6	-0.526	1.0	0.662	-0.001	2017-01-03	10:25:00	US/Eastern
VEA	2017-01-03 15:40:00	0.0	-0.239	0.451	0.529	0.0	-0.132	0.233	0.567	1	1.841	1.601	-0.525	1.0	0.662	-0.001	2017-01-03	10:40:00	US/Eastern
VEA	2017-01-03 15:55:00	0.0	-0.239	0.451	0.529	0.0	-0.132	0.233	0.566	1	1.839	1.601	-0.524	1.0	0.662	-0.001	2017-01-03	10:55:00	US/Eastern
VEA	2017-01-03 16:10:00	0.0	-0.238	0.451	0.528	0.0	-0.132	0.233	0.566	1	1.838	1.601	-0.523	1.0	0.662	-0.001	2017-01-03	11:10:00	US/Eastern
VEA	2017-01-03 16:25:00	0.0	-0.238	0.451	0.528	0.0	-0.132	0.233	0.565	1	1.836	1.602	-0.522	1.0	0.662	-0.001	2017-01-03	11:25:00	US/Eastern
VEA	2017-01-03 16:40:00	0.0	-0.238	0.451	0.527	0.0	-0.132	0.233	0.564	1	1.834	1.602	-0.521	1.0	0.662	-0.001	2017-01-03	11:40:00	US/Eastern
VEA	2017-01-03 16:55:00	0.0	-0.237	0.451	0.526	0.0	-0.131	0.233	0.564	1	1.833	1.602	-0.52	1.0	0.662	-0.001	2017-01-03	11:55:00	US/Eastern
VEA	2017-01-03 17:10:00	0.0	-0.237	0.451	0.526	0.0	-0.131	0.233	0.563	1	1.831	1.603	-0.519	1.0	0.662	-0.001	2017-01-03	12:10:00	US/Eastern
VEA	2017-01-03 17:25:00	0.0	-0.237	0.451	0.525	0.0	-0.131	0.233	0.563	1	1.83	1.603	-0.518	1.0	0.662	-0.001	2017-01-03	12:25:00	US/Eastern
VEA	2017-01-03 17:40:00	0.0	-0.237	0.451	0.525	0.0	-0.131	0.233	0.562	1	1.828	1.603	-0.516	1.0	0.662	-0.001	2017-01-03	12:40:00	US/Eastern
VEA	2017-01-03 17:55:00	0.0	-0.236	0.451	0.524	0.0	-0.131	0.233	0.561	1	1.827	1.604	-0.515	1.0	0.662	-0.001	2017-01-03	12:55:00	US/Eastern
VEA	2017-01-03 18:10:00	0.0	-0.236	0.451	0.523	0.0	-0.131	0.233	0.561	1	1.825	1.604	-0.514	1.0	0.662	-0.001	2017-01-03	13:10:00	US/Eastern
VEA	2017-01-03 18:25:00	0.0	-0.236	0.451	0.523	0.0	-0.13	0.233	0.56	1	1.823	1.604	-0.513	1.0	0.662	-0.001	2017-01-03	13:25:00	US/Eastern
VEA	2017-01-03 18:40:00	0.0	-0.235	0.451	0.522	0.0	-0.13	0.233	0.56	1	1.822	1.605	-0.512	1.0	0.662	-0.001	2017-01-03	13:40:00	US/Eastern
VEA	2017-01-03 18:55:00	0.0	-0.235	0.451	0.522	0.0	-0.13	0.233	0.559	1	1.82	1.605	-0.511	1.0	0.662	-0.001	2017-01-03	13:55:00	US/Eastern
VEA	2017-01-03 19:10:00	0.0	-0.235	0.451	0.521	0.0	-0.13	0.233	0.558	1	1.819	1.605	-0.51	1.0	0.662	-0.001	2017-01-03	14:10:00	US/Eastern
VEA	2017-01-03 19:25:00	0.0	-0.235	0.451	0.52	0.0	-0.13	0.233	0.558	1	1.817	1.606	-0.509	1.0	0.662	-0.001	2017-01-03	14:25:00	US/Eastern
VEA	2017-01-03 19:40:00	0.0	-0.234	0.451	0.52	0.0	-0.13	0.233	0.557	1	1.816	1.606	-0.508	1.0	0.662	-0.001	2017-01-03	14:40:00	US/Eastern
VEA	2017-01-03 19:55:00	0.0	-0.234	0.451	0.519	0.0	-0.13	0.233	0.556	1	1.814	1.606	-0.507	1.0	0.662	-0.001	2017-01-03	14:55:00	US/Eastern
VEA	2017-01-03 20:10:00	0.0	-0.234	0.451	0.519	0.0	-0.129	0.233	0.556	1	1.813	1.607	-0.506	1.0	0.662	-0.001	2017-01-03	15:10:00	US/Eastern
VEA	2017-01-03 20:25:00	0.0	-0.233	0.451	0.518	0.0	-0.129	0.233	0.555	1	1.811	1.607	-0.505	1.0	0.662	-0.001	2017-01-03	15:25:00	US/Eastern
VEA	2017-01-03 20:40:00	0.0	-0.233	0.451	0.517	0.0	-0.129	0.233	0.555	1	1.809	1.607	-0.504	1.0	0.662	-0.001	2017-01-03	15:40:00	US/Eastern
VEA	2017-01-03 20:55:00	0.0	-0.233	0.451	0.517	0.0	-0.129	0.233	0.554	1	1.808	1.608	-0.502	1.0	0.662	-0.001	2017-01-03	15:55:00	US/Eastern
VEA	2017-01-03 21:10:00	0.0	-0.233	0.451	0.516	0.0	-0.129	0.233	0.553	1	1.806	1.608	-0.501	1.0	0.662	-0.001	2017-01-03	16:10:00	US/Eastern
VEA	2017-01-03 21:25:00	0.0	-0.232	0.451	0.516	0.0	-0.129	0.233	0.553	1	1.805	1.608	-0.5	1.0	0.662	-0.001	2017-01-03	16:25:00	US/Eastern
VEA	2017-01-03 21:40:00	0.0	-0.232	0.451	0.515	0.0	-0.129	0.233	0.552	1	1.803	1.609	-0.499	1.0	0.662	-0.001	2017-01-03	16:40:00	US/Eastern
VEA	2017-01-03 21:55:00	0.05	-0.229	0.452	0.618	0.05	-0.126	0.235	0.75	2	1.852	1.598	0.093	1.0	1.463	0.197	2017-01-03	16:55:00	US/Eastern
VEA	2017-01-03 22:10:00	0.05	-0.229	0.452	0.617	0.049	-0.126	0.235	0.747	2	1.85	1.599	0.094	1.0	1.463	-0.003	2017-01-03	17:10:00	US/Eastern
VEA	2017-01-03 22:25:00	0.05	-0.229	0.452	0.617	0.049	-0.126	0.235	0.744	2	1.848	1.599	0.095	1.0	1.463	-0.003	2017-01-03	17:25:00	US/Eastern
VEA	2017-01-03 22:40:00	0.05	-0.228	0.452	0.616	0.048	-0.126	0.235	0.742	3	1.897	1.62	0.681	1.0	1.855	-0.003	2017-01-03	17:40:00	US/Eastern
VEA	2017-01-03 22:55:00	0.05	-0.228	0.452	0.615	0.048	-0.125	0.234	0.739	3	1.895	1.62	0.682	1.0	1.855	-0.003	2017-01-03	17:55:00	US/Eastern
VEA	2017-01-03 23:10:00	0.05	-0.228	0.452	0.615	0.047	-0.125	0.234	0.737	3	1.894	1.621	0.683	1.0	1.855	-0.003	2017-01-03	18:10:00	US/Eastern
VEA	2017-01-03 23:25:00	0.05	-0.228	0.452	0.614	0.047	-0.125	0.234	0.734	3	1.892	1.621	0.683	1.0	1.855	-0.003	2017-01-03	18:25:00	US/Eastern
VEA	2017-01-03 23:40:00	0.05	-0.227	0.452	0.614	0.046	-0.125	0.234	0.732	3	1.891	1.621	0.684	1.0	1.855	-0.003	2017-01-03	18:40:00	US/Eastern
VEA	2017-01-03 23:55:00	0.05	-0.227	0.452	0.613	0.046	-0.125	0.234	0.729	3	1.889	1.622	0.685	1.0	1.855	-0.002	2017-01-03	18:55:00	US/Eastern
VEA	2017-01-04 00:10:00	0.05	-0.227	0.452	0.612	0.045	-0.125	0.234	0.727	3	1.888	1.622	0.686	1.0	1.855	-0.002	2017-01-03	19:10:00	US/Eastern
VEA	2017-01-04 00:25:00	0.05	-0.226	0.452	0.612	0.045	-0.125	0.234	0.724	3	1.886	1.623	0.687	1.0	1.855	-0.002	2017-01-03	19:25:00	US/Eastern
VEA	2017-01-04 00:40:00	0.05	-0.226	0.452	0.611	0.044	-0.125	0.234	0.722	3	1.884	1.623	0.687	1.0	1.855	-0.002	2017-01-03	19:40:00	US/Eastern
VEA	2017-01-04 00:55:00	0.05	-0.226	0.452	0.611	0.044	-0.125	0.234	0.719	3	1.883	1.623	0.688	1.0	1.855	-0.002	2017-01-03	19:55:00	US/Eastern
VEA	2017-01-04 01:10:00	0.05	-0.226	0.452	0.61	0.044	-0.124	0.234	0.717	3	1.881	1.624	0.689	1.0	1.855	-0.002	2017-01-03	20:10:00	US/Eastern
VEA	2017-01-04 01:25:00	0.05	-0.225	0.452	0.609	0.043	-0.124	0.234	0.715	3	1.88	1.624	0.69	1.0	1.855	-0.002	2017-01-03	20:25:00	US/Eastern
VEA	2017-01-04 01:40:00	0.05	-0.225	0.452	0.609	0.043	-0.124	0.234	0.712	3	1.878	1.624	0.691	1.0	1.855	-0.002	2017-01-03	20:40:00	US/Eastern
VEA	2017-01-04 01:55:00	0.05	-0.225	0.452	0.608	0.042	-0.124	0.234	0.71	3	1.877	1.625	0.691	1.0	1.855	-0.002	2017-01-03	20:55:00	US/Eastern
VEA	2017-01-04 02:10:00	0.05	-0.224	0.452	0.608	0.042	-0.124	0.234	0.708	3	1.875	1.625	0.692	1.0	1.855	-0.002	2017-01-03	21:10:00	US/Eastern
VEA	2017-01-04 02:25:00	0.05	-0.224	0.451	0.607	0.041	-0.124	0.234	0.705	3	1.873	1.626	0.693	1.0	1.855	-0.002	2017-01-03	21:25:00	US/Eastern
VEA	2017-01-04 02:40:00	0.05	-0.224	0.451	0.606	0.041	-0.124	0.234	0.703	3	1.872	1.626	0.694	1.0	1.855	-0.002	2017-01-03	21:40:00	US/Eastern
VEA	2017-01-04 02:55:00	0.05	-0.224	0.451	0.606	0.04	-0.124	0.234	0.701	3	1.87	1.626	0.695	1.0	1.855	-0.002	2017-01-03	21:55:00	US/Eastern
VEA	2017-01-04 03:10:00	0.05	-0.223	0.451	0.605	0.04	-0.123	0.234	0.699	3	1.869	1.627	0.695	1.0	1.855	-0.002	2017-01-03	22:10:00	US/Eastern
VEA	2017-01-04 03:25:00	0.05	-0.223	0.451	0.605	0.04	-0.123	0.234	0.696	3	1.867	1.627	0.696	1.0	1.855	-0.002	2017-01-03	22:25:00	US/Eastern
VEA	2017-01-04 03:40:00	0.05	-0.223	0.451	0.604	0.039	-0.123	0.234	0.694	3	1.866	1.627	0.697	1.0	1.855	-0.002	2017-01-03	22:40:00	US/Eastern
VEA	2017-01-04 03:55:00	0.05	-0.222	0.451	0.604	0.039	-0.123	0.234	0.692	3	1.864	1.628	0.698	1.0	1.855	-0.002	2017-01-03	22:55:00	US/Eastern
VEA	2017-01-04 04:10:00	0.05	-0.222	0.451	0.603	0.038	-0.123	0.234	0.69	3	1.863	1.628	0.699	1.0	1.855	-0.002	2017-01-03	23:10:00	US/Eastern
VEA	2017-01-04 04:25:00	0.05	-0.222	0.451	0.602	0.038	-0.123	0.234	0.688	3	1.861	1.629	0.699	1.0	1.855	-0.002	2017-01-03	23:25:00	US/Eastern
VEA	2017-01-04 04:40:00	0.05	-0.222	0.451	0.602	0.038	-0.123	0.234	0.685	3	1.859	1.629	0.7	1.0	1.855	-0.002	2017-01-03	23:40:00	US/Eastern
VEA	2017-01-04 04:55:00	0.05	-0.221	0.451	0.601	0.037	-0.123	0.234	0.683	3	1.858	1.629	0.701	1.0	1.855	-0.002	2017-01-03	23:55:00	US/Eastern
VEA	2017-01-04 05:10:00	0.05	-0.221	0.451	0.601	0.037	-0.122	0.234	0.681	3	1.856	1.63	0.702	1.0	1.855	-0.002	2017-01-04	00:10:00	US/Eastern
VEA	2017-01-04 05:25:00	0.05	-0.221	0.451	0.6	0.036	-0.122	0.234	0.679	3	1.855	1.63	0.703	1.0	1.855	-0.002	2017-01-04	00:25:00	US/Eastern
VEA	2017-01-04 05:40:00	0.05	-0.22	0.451	0.599	0.036	-0.122	0.234	0.677	3	1.853	1.63	0.703	1.0	1.855	-0.002	2017-01-04	00:40:00	US/Eastern
VEA	2017-01-04 05:55:00	0.05	-0.22	0.451	0.599	0.036	-0.122	0.234	0.675	3	1.852	1.631	0.704	1.0	1.855	-0.002	2017-01-04	00:55:00	US/Eastern
VEA	2017-01-04 06:10:00	0.05	-0.22	0.451	0.598	0.035	-0.122	0.234	0.673	3	1.85	1.631	0.705	1.0	1.855	-0.002	2017-01-04	01:10:00	US/Eastern
