Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - HYD.txt

Data for: 2017-01-06 17:55:00 UTC - 2017-12-07 14:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
HYD	2017-01-06 17:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	12:55:00	US/Eastern
HYD	2017-01-06 18:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	13:10:00	US/Eastern
HYD	2017-01-06 18:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	13:25:00	US/Eastern
HYD	2017-01-06 18:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	13:40:00	US/Eastern
HYD	2017-01-06 18:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	13:55:00	US/Eastern
HYD	2017-01-06 19:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	14:10:00	US/Eastern
HYD	2017-01-06 19:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	14:25:00	US/Eastern
HYD	2017-01-06 19:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	14:40:00	US/Eastern
HYD	2017-01-06 19:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	14:55:00	US/Eastern
HYD	2017-01-06 20:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	15:10:00	US/Eastern
HYD	2017-01-06 20:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	15:25:00	US/Eastern
HYD	2017-01-06 20:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	15:40:00	US/Eastern
HYD	2017-01-06 20:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	15:55:00	US/Eastern
HYD	2017-01-06 21:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	16:10:00	US/Eastern
HYD	2017-01-06 21:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	16:25:00	US/Eastern
HYD	2017-01-06 21:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	16:40:00	US/Eastern
HYD	2017-01-06 21:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	16:55:00	US/Eastern
HYD	2017-01-06 22:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	17:10:00	US/Eastern
HYD	2017-01-06 22:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	17:25:00	US/Eastern
HYD	2017-01-06 22:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	17:40:00	US/Eastern
HYD	2017-01-06 22:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	17:55:00	US/Eastern
HYD	2017-01-06 23:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	18:10:00	US/Eastern
HYD	2017-01-06 23:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	18:25:00	US/Eastern
HYD	2017-01-06 23:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	18:40:00	US/Eastern
HYD	2017-01-06 23:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	18:55:00	US/Eastern
HYD	2017-01-07 00:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	19:10:00	US/Eastern
HYD	2017-01-07 00:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	19:25:00	US/Eastern
HYD	2017-01-07 00:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	19:40:00	US/Eastern
HYD	2017-01-07 00:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	19:55:00	US/Eastern
HYD	2017-01-07 01:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	20:10:00	US/Eastern
HYD	2017-01-07 01:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	20:25:00	US/Eastern
HYD	2017-01-07 01:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	20:40:00	US/Eastern
HYD	2017-01-07 01:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	20:55:00	US/Eastern
HYD	2017-01-07 02:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	21:10:00	US/Eastern
HYD	2017-01-07 02:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	21:25:00	US/Eastern
HYD	2017-01-07 02:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	21:40:00	US/Eastern
HYD	2017-01-07 02:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	21:55:00	US/Eastern
HYD	2017-01-07 03:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	22:10:00	US/Eastern
HYD	2017-01-07 03:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	22:25:00	US/Eastern
HYD	2017-01-07 03:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	22:40:00	US/Eastern
HYD	2017-01-07 03:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	22:55:00	US/Eastern
HYD	2017-01-07 04:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	23:10:00	US/Eastern
HYD	2017-01-07 04:25:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	23:25:00	US/Eastern
HYD	2017-01-07 04:40:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	23:40:00	US/Eastern
HYD	2017-01-07 04:55:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-06	23:55:00	US/Eastern
HYD	2017-01-07 05:10:00	0.0	-0.006	0.061	0.103	0.0	-0.004	0.034	0.105	1	0.25	0.444	1.688	1.0	2.187	0.0	2017-01-07	00:10:00	US/Eastern
