Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XVZ.txt

Data for: 2016-02-12 14:55:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XVZ	2016-02-12 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	09:55:00	US/Eastern
XVZ	2016-02-12 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	10:10:00	US/Eastern
XVZ	2016-02-12 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	10:25:00	US/Eastern
XVZ	2016-02-12 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	10:40:00	US/Eastern
XVZ	2016-02-12 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	10:55:00	US/Eastern
XVZ	2016-02-12 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	11:10:00	US/Eastern
XVZ	2016-02-12 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	11:25:00	US/Eastern
XVZ	2016-02-12 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	11:40:00	US/Eastern
XVZ	2016-02-12 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	11:55:00	US/Eastern
XVZ	2016-02-12 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	12:10:00	US/Eastern
XVZ	2016-02-12 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	12:25:00	US/Eastern
XVZ	2016-02-12 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	12:40:00	US/Eastern
XVZ	2016-02-12 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	12:55:00	US/Eastern
XVZ	2016-02-12 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	13:10:00	US/Eastern
XVZ	2016-02-12 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	13:25:00	US/Eastern
XVZ	2016-02-12 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	13:40:00	US/Eastern
XVZ	2016-02-12 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	13:55:00	US/Eastern
XVZ	2016-02-12 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	14:10:00	US/Eastern
XVZ	2016-02-12 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	14:25:00	US/Eastern
XVZ	2016-02-12 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	14:40:00	US/Eastern
XVZ	2016-02-12 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	14:55:00	US/Eastern
XVZ	2016-02-12 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	15:10:00	US/Eastern
XVZ	2016-02-12 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	15:25:00	US/Eastern
XVZ	2016-02-12 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	15:40:00	US/Eastern
XVZ	2016-02-12 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	15:55:00	US/Eastern
XVZ	2016-02-12 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	16:10:00	US/Eastern
XVZ	2016-02-12 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	16:25:00	US/Eastern
XVZ	2016-02-12 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	16:40:00	US/Eastern
XVZ	2016-02-12 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	16:55:00	US/Eastern
XVZ	2016-02-12 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	17:10:00	US/Eastern
XVZ	2016-02-12 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	17:25:00	US/Eastern
XVZ	2016-02-12 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	17:40:00	US/Eastern
XVZ	2016-02-12 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	17:55:00	US/Eastern
XVZ	2016-02-12 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	18:10:00	US/Eastern
XVZ	2016-02-12 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	18:25:00	US/Eastern
XVZ	2016-02-12 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	18:40:00	US/Eastern
XVZ	2016-02-12 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	18:55:00	US/Eastern
XVZ	2016-02-13 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	19:10:00	US/Eastern
XVZ	2016-02-13 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	19:25:00	US/Eastern
XVZ	2016-02-13 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	19:40:00	US/Eastern
XVZ	2016-02-13 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	19:55:00	US/Eastern
XVZ	2016-02-13 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	20:10:00	US/Eastern
XVZ	2016-02-13 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	20:25:00	US/Eastern
XVZ	2016-02-13 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	20:40:00	US/Eastern
XVZ	2016-02-13 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	20:55:00	US/Eastern
XVZ	2016-02-13 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	21:10:00	US/Eastern
XVZ	2016-02-13 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	21:25:00	US/Eastern
XVZ	2016-02-13 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	21:40:00	US/Eastern
XVZ	2016-02-13 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	21:55:00	US/Eastern
XVZ	2016-02-13 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	22:10:00	US/Eastern
XVZ	2016-02-13 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	22:25:00	US/Eastern
XVZ	2016-02-13 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	22:40:00	US/Eastern
XVZ	2016-02-13 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	22:55:00	US/Eastern
XVZ	2016-02-13 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	23:10:00	US/Eastern
XVZ	2016-02-13 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	23:25:00	US/Eastern
XVZ	2016-02-13 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	23:40:00	US/Eastern
XVZ	2016-02-13 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-12	23:55:00	US/Eastern
XVZ	2016-02-13 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	00:10:00	US/Eastern
XVZ	2016-02-13 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	00:25:00	US/Eastern
XVZ	2016-02-13 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	00:40:00	US/Eastern
XVZ	2016-02-13 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	00:55:00	US/Eastern
XVZ	2016-02-13 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	01:10:00	US/Eastern
XVZ	2016-02-13 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	01:25:00	US/Eastern
XVZ	2016-02-13 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	01:40:00	US/Eastern
XVZ	2016-02-13 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	01:55:00	US/Eastern
XVZ	2016-02-13 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	02:10:00	US/Eastern
XVZ	2016-02-13 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	02:25:00	US/Eastern
XVZ	2016-02-13 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	02:40:00	US/Eastern
XVZ	2016-02-13 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	02:55:00	US/Eastern
XVZ	2016-02-13 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	03:10:00	US/Eastern
XVZ	2016-02-13 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	03:25:00	US/Eastern
XVZ	2016-02-13 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	03:40:00	US/Eastern
XVZ	2016-02-13 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	03:55:00	US/Eastern
XVZ	2016-02-13 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	04:10:00	US/Eastern
XVZ	2016-02-13 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	04:25:00	US/Eastern
XVZ	2016-02-13 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	04:40:00	US/Eastern
XVZ	2016-02-13 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	04:55:00	US/Eastern
XVZ	2016-02-13 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	05:10:00	US/Eastern
XVZ	2016-02-13 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	05:25:00	US/Eastern
XVZ	2016-02-13 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	05:40:00	US/Eastern
XVZ	2016-02-13 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	05:55:00	US/Eastern
XVZ	2016-02-13 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	06:10:00	US/Eastern
XVZ	2016-02-13 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	06:25:00	US/Eastern
XVZ	2016-02-13 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	06:40:00	US/Eastern
XVZ	2016-02-13 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	06:55:00	US/Eastern
XVZ	2016-02-13 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	07:10:00	US/Eastern
XVZ	2016-02-13 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	07:25:00	US/Eastern
XVZ	2016-02-13 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	07:40:00	US/Eastern
XVZ	2016-02-13 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	07:55:00	US/Eastern
XVZ	2016-02-13 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	08:10:00	US/Eastern
XVZ	2016-02-13 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	08:25:00	US/Eastern
XVZ	2016-02-13 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	08:40:00	US/Eastern
XVZ	2016-02-13 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.831	0.0	2016-02-13	08:55:00	US/Eastern
XVZ	2016-02-13 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	3.145	0.0	2016-02-13	09:10:00	US/Eastern
XVZ	2016-02-13 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.051	0.225	4.225	1.0	3.145	0.0	2016-02-13	09:25:00	US/Eastern
XVZ	2016-02-13 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.051	0.226	4.203	1.0	3.145	0.0	2016-02-13	09:40:00	US/Eastern
XVZ	2016-03-05 02:10:00	-0.15	-0.007	0.034	-4.249	-0.15	-0.007	0.034	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	21:10:00	US/Eastern
XVZ	2016-03-05 02:25:00	-0.15	-0.007	0.034	-4.249	-0.148	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	21:25:00	US/Eastern
XVZ	2016-03-05 02:40:00	-0.15	-0.007	0.034	-4.249	-0.147	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	21:40:00	US/Eastern
XVZ	2016-03-05 02:55:00	-0.15	-0.007	0.034	-4.249	-0.145	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	21:55:00	US/Eastern
XVZ	2016-03-05 03:10:00	-0.15	-0.007	0.034	-4.249	-0.144	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	22:10:00	US/Eastern
XVZ	2016-03-05 03:25:00	-0.15	-0.007	0.034	-4.249	-0.142	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	22:25:00	US/Eastern
XVZ	2016-03-05 03:40:00	-0.15	-0.007	0.034	-4.249	-0.141	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	22:40:00	US/Eastern
XVZ	2016-03-05 03:55:00	-0.15	-0.007	0.034	-4.249	-0.139	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	22:55:00	US/Eastern
XVZ	2016-03-05 04:10:00	-0.15	-0.007	0.034	-4.249	-0.138	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	23:10:00	US/Eastern
XVZ	2016-03-05 04:25:00	-0.15	-0.007	0.034	-4.249	-0.137	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	23:25:00	US/Eastern
XVZ	2016-03-05 04:40:00	-0.15	-0.007	0.034	-4.249	-0.135	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	23:40:00	US/Eastern
XVZ	2016-03-05 04:55:00	-0.15	-0.007	0.034	-4.249	-0.134	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-04	23:55:00	US/Eastern
XVZ	2016-03-05 05:10:00	-0.15	-0.007	0.034	-4.249	-0.132	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	00:10:00	US/Eastern
XVZ	2016-03-05 05:25:00	-0.15	-0.007	0.034	-4.249	-0.131	-0.007	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	00:25:00	US/Eastern
XVZ	2016-03-05 05:40:00	-0.15	-0.007	0.034	-4.249	-0.13	-0.006	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	00:40:00	US/Eastern
XVZ	2016-03-05 05:55:00	-0.15	-0.007	0.034	-4.249	-0.128	-0.006	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	00:55:00	US/Eastern
XVZ	2016-03-05 06:10:00	-0.15	-0.007	0.034	-4.249	-0.127	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	01:10:00	US/Eastern
XVZ	2016-03-05 06:25:00	-0.15	-0.007	0.034	-4.249	-0.126	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	01:25:00	US/Eastern
XVZ	2016-03-05 06:40:00	-0.15	-0.007	0.034	-4.249	-0.124	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	01:40:00	US/Eastern
XVZ	2016-03-05 06:55:00	-0.15	-0.007	0.034	-4.249	-0.123	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	01:55:00	US/Eastern
XVZ	2016-03-05 07:10:00	-0.15	-0.007	0.034	-4.249	-0.122	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	02:10:00	US/Eastern
XVZ	2016-03-05 07:25:00	-0.15	-0.007	0.034	-4.249	-0.12	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	02:25:00	US/Eastern
XVZ	2016-03-05 07:40:00	-0.15	-0.007	0.034	-4.249	-0.119	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	02:40:00	US/Eastern
XVZ	2016-03-05 07:55:00	-0.15	-0.007	0.034	-4.249	-0.118	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	02:55:00	US/Eastern
XVZ	2016-03-05 08:10:00	-0.15	-0.007	0.034	-4.249	-0.117	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	03:10:00	US/Eastern
XVZ	2016-03-05 08:25:00	-0.15	-0.007	0.034	-4.249	-0.116	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	03:25:00	US/Eastern
XVZ	2016-03-05 08:40:00	-0.15	-0.007	0.034	-4.249	-0.114	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	03:40:00	US/Eastern
XVZ	2016-03-05 08:55:00	-0.15	-0.007	0.034	-4.249	-0.113	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	03:55:00	US/Eastern
XVZ	2016-03-05 09:10:00	-0.15	-0.007	0.034	-4.249	-0.112	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	04:10:00	US/Eastern
XVZ	2016-03-05 09:25:00	-0.15	-0.007	0.034	-4.249	-0.111	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	04:25:00	US/Eastern
XVZ	2016-03-05 09:40:00	-0.15	-0.007	0.034	-4.249	-0.11	-0.005	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	04:40:00	US/Eastern
XVZ	2016-03-05 09:55:00	-0.15	-0.007	0.034	-4.249	-0.109	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	04:55:00	US/Eastern
XVZ	2016-03-05 10:10:00	-0.15	-0.007	0.034	-4.249	-0.107	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	05:10:00	US/Eastern
XVZ	2016-03-05 10:25:00	-0.15	-0.007	0.034	-4.249	-0.106	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	05:25:00	US/Eastern
XVZ	2016-03-05 10:40:00	-0.15	-0.007	0.034	-4.249	-0.105	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	05:40:00	US/Eastern
XVZ	2016-03-05 10:55:00	-0.15	-0.007	0.034	-4.249	-0.104	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	05:55:00	US/Eastern
XVZ	2016-03-05 11:10:00	-0.15	-0.007	0.034	-4.249	-0.103	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	06:10:00	US/Eastern
XVZ	2016-03-05 11:25:00	-0.15	-0.007	0.034	-4.249	-0.102	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	06:25:00	US/Eastern
XVZ	2016-03-05 11:40:00	-0.15	-0.007	0.034	-4.249	-0.101	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	06:40:00	US/Eastern
XVZ	2016-03-05 11:55:00	-0.15	-0.007	0.034	-4.249	-0.1	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	06:55:00	US/Eastern
XVZ	2016-03-05 12:10:00	-0.15	-0.007	0.034	-4.249	-0.099	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	07:10:00	US/Eastern
XVZ	2016-03-05 12:25:00	-0.15	-0.007	0.034	-4.249	-0.098	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	07:25:00	US/Eastern
XVZ	2016-03-05 12:40:00	-0.15	-0.007	0.034	-4.249	-0.097	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	07:40:00	US/Eastern
XVZ	2016-03-05 12:55:00	-0.15	-0.007	0.034	-4.249	-0.096	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.841	0.0	2016-03-05	07:55:00	US/Eastern
