Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - GRES.txt

Data for: 2016-01-21 17:40:00 UTC - 2016-12-06 15:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
GRES	2016-01-21 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	12:40:00	US/Eastern
GRES	2016-01-21 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	12:55:00	US/Eastern
GRES	2016-01-21 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	13:10:00	US/Eastern
GRES	2016-01-21 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	13:25:00	US/Eastern
GRES	2016-01-21 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	13:40:00	US/Eastern
GRES	2016-01-21 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	13:55:00	US/Eastern
GRES	2016-01-21 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	14:10:00	US/Eastern
GRES	2016-01-21 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	14:25:00	US/Eastern
GRES	2016-01-21 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	14:40:00	US/Eastern
GRES	2016-01-21 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	14:55:00	US/Eastern
GRES	2016-01-21 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	15:10:00	US/Eastern
GRES	2016-01-21 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	15:25:00	US/Eastern
GRES	2016-01-21 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	15:40:00	US/Eastern
GRES	2016-01-21 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	15:55:00	US/Eastern
GRES	2016-01-21 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	16:10:00	US/Eastern
GRES	2016-01-21 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	16:25:00	US/Eastern
GRES	2016-01-21 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	16:40:00	US/Eastern
GRES	2016-01-21 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	16:55:00	US/Eastern
GRES	2016-01-21 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	17:10:00	US/Eastern
GRES	2016-01-21 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	17:25:00	US/Eastern
GRES	2016-01-21 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	17:40:00	US/Eastern
GRES	2016-01-21 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	17:55:00	US/Eastern
GRES	2016-01-21 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	18:10:00	US/Eastern
GRES	2016-01-21 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	18:25:00	US/Eastern
GRES	2016-01-21 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	18:40:00	US/Eastern
GRES	2016-01-21 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	18:55:00	US/Eastern
GRES	2016-01-22 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	19:10:00	US/Eastern
GRES	2016-01-22 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	19:25:00	US/Eastern
GRES	2016-01-22 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	19:40:00	US/Eastern
GRES	2016-01-22 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	19:55:00	US/Eastern
GRES	2016-01-22 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	20:10:00	US/Eastern
GRES	2016-01-22 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	20:25:00	US/Eastern
GRES	2016-01-22 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	20:40:00	US/Eastern
GRES	2016-01-22 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	20:55:00	US/Eastern
GRES	2016-01-22 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.722	0.0	2016-01-21	21:10:00	US/Eastern
